Ref,Val,Package,PosX,PosY,Rot,Side
"D1","Power","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.051000,87.376000,0.000000,top
"R1","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.926000,61.468000,0.000000,top
"R2","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.692000,48.895000,180.000000,top
"R3","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.287000,79.756000,180.000000,top
"R4","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.084000,61.468000,90.000000,top
"R5","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.671000,61.468000,90.000000,top
"R6","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.850000,48.895000,90.000000,top
"R7","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.437000,48.895000,90.000000,top
"R10","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",22.606000,73.914000,90.000000,top
"R11","10r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.647000,42.037000,0.000000,top
"R12","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.447000,84.337000,270.000000,top
"R13","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.926000,48.768000,0.000000,top
"R14","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.692000,61.595000,180.000000,top
"R15","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.084000,48.768000,90.000000,top
"R16","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.671000,48.768000,90.000000,top
"R17","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.850000,61.595000,90.000000,top
"R18","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.437000,61.595000,90.000000,top
"R19","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.926000,86.360000,0.000000,top
"R20","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.565000,73.914000,180.000000,top
"R21","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",65.024000,2.658000,90.000000,top
"R23","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.084000,86.360000,90.000000,top
"R24","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.671000,86.360000,90.000000,top
"R25","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.850000,73.914000,90.000000,top
"R26","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.437000,73.914000,90.000000,top
"R27","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.971000,41.910000,180.000000,top
"R28","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.989000,2.540000,90.000000,top
"R30","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.971000,39.370000,180.000000,top
"R31","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.962000,36.830000,180.000000,top
"R32","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.926000,73.914000,0.000000,top
"R33","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.565000,86.360000,180.000000,top
"R34","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.971000,34.290000,180.000000,top
"R35","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.971000,31.750000,180.000000,top
"R36","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.971000,29.210000,180.000000,top
"R37","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.084000,73.914000,90.000000,top
"R38","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.671000,73.914000,90.000000,top
"R39","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.850000,86.360000,90.000000,top
"R40","1Meg","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.437000,86.360000,90.000000,top
"R41","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.050000,10.668000,0.000000,top
"R42","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.962000,26.670000,180.000000,top
"R43","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.971000,24.130000,180.000000,top
"R44","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",13.589000,2.540000,90.000000,top
"R46","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.971000,21.590000,180.000000,top
"R47","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.971000,19.050000,180.000000,top
"R48","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.971000,16.510000,180.000000,top
"R49","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.980000,13.970000,180.000000,top
"R50","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.799000,35.433000,0.000000,top
